Regulator (TF or sigma);Target gene;mode of regulation;Ortholog of the target gene
fliA (AL347_05490);PA1569;+;PA1569
fliA (AL347_05490);PA1568;+;PA1568
fliA (AL347_05490);PA1567;+;PA1567
fliA (AL347_05490);aer;+;aer
fliA (AL347_05490);PA1545;+;PA1545
fliA (AL347_05490);PA1538;+;PA1538
fliA (AL347_05490);PA1537;+;PA1537
fliA (AL347_05490);PA1510;+;PA1510 (tplE, tle4)
fliA (AL347_05490);PA1509;+;PA1509 (tplEi, tli4)
fliA (AL347_05490);PA1498;+;PA1498 (pykF, pyk-I)
fliA (AL347_05490);PA1474;+;PA1474
fliA (AL347_05490);PA1473;+;PA1473
fliA (AL347_05490);PA1467;+;PA1467
fliA (AL347_05490);PA1465;+;PA1465
fliA (AL347_05490);PA1462;+;PA1462
fliA (AL347_05490);motD;+;motD
fliA (AL347_05490);PA1460;+;PA1460 (motC)
fliA (AL347_05490);PA1459;+;PA1459
fliA (AL347_05490);PA1458;+;PA1458
fliA (AL347_05490);PA1456;+;PA1456 (cheY)
fliA (AL347_05490);fliA;?;fliA
fliA (AL347_05490);PA1423;+;PA1423 (bdlA)
fliA (AL347_05490);gbuA;+;gbuA
fliA (AL347_05490);PA1420;+;PA1420
fliA (AL347_05490);PA1419;+;PA1419
fliA (AL347_05490);PA1367;+;PA1367
fliA (AL347_05490);PA1354;+;PA1354
fliA (AL347_05490);PA1353;+;PA1353
fliA (AL347_05490);PA1346;+;PA1346
fliA (AL347_05490);cyoC;+;cyoC
fliA (AL347_05490);PA1311;+;PA1311 (phnX)
fliA (AL347_05490);PA1254;+;PA1254 (lhpC)
fliA (AL347_05490);PA1253;+;PA1253 (lhpG)
fliA (AL347_05490);PA1251;+;PA1251
fliA (AL347_05490);PA1244;+;PA1244 (qslA)
fliA (AL347_05490);PA1232;+;PA1232
fliA (AL347_05490);PA1221;+;PA1221
fliA (AL347_05490);PA1220;+;PA1220
fliA (AL347_05490);PA1219;+;PA1219
fliA (AL347_05490);PA1218;+;PA1218
fliA (AL347_05490);PA1217;+;PA1217
fliA (AL347_05490);PA1216;+;PA1216
fliA (AL347_05490);PA1214;+;PA1214
fliA (AL347_05490);PA1213;+;PA1213
fliA (AL347_05490);PA1212;+;PA1212
fliA (AL347_05490);PA1211;+;PA1211
fliA (AL347_05490);PA1181;+;PA1181
fliA (AL347_05490);rhlC;+;rhlC
fliA (AL347_05490);fliJ;+;fliJ
fliA (AL347_05490);fliI;+;fliI
fliA (AL347_05490);fliH;+;fliH
fliA (AL347_05490);fliG;+;fliG
fliA (AL347_05490);fliF;+;fliF
fliA (AL347_05490);fliE;+;fliE
fliA (AL347_05490);PA1096;+;PA1096
fliA (AL347_05490);fliS;+;fliS
fliA (AL347_05490);fliD;+;fliD
fliA (AL347_05490);PA1093;+;PA1093
fliA (AL347_05490);PA1090;+;PA1090
fliA (AL347_05490);PA1089;+;PA1089
fliA (AL347_05490);PA1088;+;PA1088
fliA (AL347_05490);flgL;+;flgL
fliA (AL347_05490);PA1028;+;PA1028 (amaA, amaB)
fliA (AL347_05490);PA1023;+;PA1023
fliA (AL347_05490);PA0982;+;PA0982
fliA (AL347_05490);PA0980;+;PA0980
fliA (AL347_05490);tolB;+;tolB
fliA (AL347_05490);tolA;+;tolA
fliA (AL347_05490);PA0967;+;PA0967 (ruvB)
fliA (AL347_05490);dctM;+;dctM
fliA (AL347_05490);dctQ;+;dctQ
fliA (AL347_05490);PA0884;+;PA0884
fliA (AL347_05490);PA0883;+;PA0883
fliA (AL347_05490);PA0882;+;PA0882
fliA (AL347_05490);PA0818;+;PA0818
fliA (AL347_05490);mucB;+;mucB
fliA (AL347_05490);PA0728;+;PA0728
fliA (AL347_05490);PA0727;+;PA0727
fliA (AL347_05490);PA0721;+;PA0721
fliA (AL347_05490);PA0720;+;PA0720
fliA (AL347_05490);PA0701;+;PA0701
fliA (AL347_05490);PA0699;+;PA0699
fliA (AL347_05490);phdA;+;phdA
fliA (AL347_05490);PA0690;+;PA0690 (pdtA)
fliA (AL347_05490);PA0684;+;PA0684 (hxcZ)
fliA (AL347_05490);PA0669;+;PA0669
fliA (AL347_05490);PA0665;+;PA0665
fliA (AL347_05490);PA0452;+;PA0452
fliA (AL347_05490);PA0451;+;PA0451
fliA (AL347_05490);PA0444;+;PA0444
fliA (AL347_05490);PA0259;+;PA0259 (tla3, tli3)
fliA (AL347_05490);cttP;+;cttP
fliA (AL347_05490);PA0179;+;PA0179
fliA (AL347_05490);PA0178;+;PA0178
fliA (AL347_05490);PA0177;+;PA0177
fliA (AL347_05490);PA0175;+;PA0175 (cheR2)
fliA (AL347_05490);PA0174;+;PA0174
fliA (AL347_05490);PA0173;+;PA0173
fliA (AL347_05490);PA0154;+;PA0154 (pcaG)
fliA (AL347_05490);PA0153;+;PA0153 (pcaH)
fliA (AL347_05490);algU;?;algU
fliA (AL347_05490);PA1442;+;PA1442
fliC (AL347_07715);exoT;-;exoT
fliC (AL347_07715);exoY;-;exoY
fliC (AL347_07715);exoS;-;exoS
foxI (AL347_32680);foxA;+;foxA
foxR (AL347_32685);foxI;-;foxI
fpvI (AL347_33080);PA5106;+;PA5106
fpvI (AL347_33080);PA4287;+;PA4287
fpvI (AL347_33080);hasR;+;hasR
fpvI (AL347_33080);PA2406;+;PA2406 (fpvK)
fpvI (AL347_33080);PA2405;+;PA2405 (fpvJ)
fpvI (AL347_33080);PA2404;+;PA2404 (fpvH)
fpvI (AL347_33080);pvdA;+;pvdA
fpvI (AL347_33080);PA1254;+;PA1254 (lhpC)
fpvI (AL347_33080);PA1253;+;PA1253 (lhpG)
fpvI (AL347_33080);PA4902;+;PA4902
fpvI (AL347_33080);fpvI;?;fpvI
fpvR (AL347_33075);fpvI;-;fpvI
fpvR (AL347_33075);pvdS;-;pvdS
fruR (AL347_24990);fruR;-;fruR
fruR (AL347_24990);fruK;-;fruK
fruR (AL347_24990);fruA;-;fruA
fruR (AL347_24990);fruI;-;fruI
fur (AL347_13415);pvdQ;+;pvdQ
fur (AL347_13415);fpvR;+;fpvR
fur (AL347_13415);foxR;-;foxR
fur (AL347_13415);fptB;+;fptB
fur (AL347_13415);fptA;+;fptA
fur (AL347_13415);pchR;-;pchR
fur (AL347_13415);rplL;+;rplL
fur (AL347_13415);rplJ;+;rplJ
fur (AL347_13415);rplA;+;rplA
fur (AL347_13415);icmP;+;icmP
fur (AL347_13415);fagA;-;fagA
fur (AL347_13415);tolQ;-;tolQ
fur (AL347_13415);tolR;-;tolR
fur (AL347_13415);tolA;-;tolA
fur (AL347_13415);tolB;-;tolB
fur (AL347_13415);oprL;-;oprL
fur (AL347_13415);toxA;-;toxA
fur (AL347_13415);gbuR;-;gbuR
fur (AL347_13415);hasR;+;hasR
fur (AL347_13415);pchF;-;pchF
fur (AL347_13415);pchE;-;pchE
fur (AL347_13415);pchD;-;pchD
fur (AL347_13415);pchC;-;pchC
fur (AL347_13415);pchB;-;pchB
fur (AL347_13415);pchA;-;pchA
fur (AL347_13415);phuT;+;phuT
fur (AL347_13415);pfeR;-;pfeR
fur (AL347_13415);pirR;-;pirR
fur (AL347_13415);pirA;-;pirA
fur (AL347_13415);hxuA;-;hxuA
fur (AL347_13415);pfuA;-;pfuA
fur (AL347_13415);PA2033;-;PA2033
fur (AL347_13415);PA2034;-;PA2034
fur (AL347_13415);optO;-;optO
fur (AL347_13415);foxA;-;foxA
fur (AL347_13415);pfeA;-;pfeA
fur (AL347_13415);PA3268;-;PA3268
fur (AL347_13415);fpvB;-;fpvB
fur (AL347_13415);PA4467;-;PA4467
fur (AL347_13415);PA4469;-;PA4469
fur (AL347_13415);fumC1;-;fumC1
fur (AL347_13415);PA4514;-;PA4514
fur (AL347_13415);chtA;-;chtA
fur (AL347_13415);phuU;d;phuU
fur (AL347_13415);phuS;d;phuS
fur (AL347_13415);optI;-;optI
fur (AL347_13415);PA5216;-;PA5216
fur (AL347_13415);PA5217;-;PA5217
fur (AL347_13415);hemO;+;hemO
fur (AL347_13415);PA4516;+;PA4516
fur (AL347_13415);PA4895;+;PA4895
fur (AL347_13415);bfd;d;bfd
fur (AL347_13415);PA0149;?;PA0149
fur (AL347_13415);fiuI;?;fiuI
fur (AL347_13415);femI;?;femI
fur (AL347_13415);PA2050;?;PA2050
fur (AL347_13415);hasI;?;hasI
fur (AL347_13415);hasAp;+;hasAp
fur (AL347_13415);foxI;-;foxI
fur (AL347_13415);pvdS;-;pvdS
fur (AL347_13415);phuR;d;phuR
fur (AL347_13415);fecI;-;fecI
fur (AL347_13415);PA4896;+;PA4896
fur (AL347_13415);piuC;-;piuC
fur (AL347_13415);fpvI;-;fpvI
fur (AL347_13415);PA1300;?;PA1300 (hxuI)
fur (AL347_13415);PA4705;+;PA4705 (phuW)
fur (AL347_13415);toxR;-;toxR
fur (AL347_13415);PA1322;?;PA1322
fur (AL347_13415);aprA;?;aprA
fur (AL347_13415);PA4513;?;PA4513
fur (AL347_13415);PA0473;?;PA0473
fur (AL347_13415);PA3842;-;PA3842 (spcS, orf1)
fur (AL347_13415);ybgC;?;ybgC
fur (AL347_13415);PSPA7_RS25870;-;PSPA7_RS25870
fur (AL347_13415);PA4570;+;PA4570
fur (AL347_13415);PA3409;+;PA3409 (hasS)
fur (AL347_13415);fecR;-;fecR
fur (AL347_13415);PA1301;-;PA1301 (hxuR)
fur (AL347_13415);motD;-;motD
fur (AL347_13415);PA0071;-;PA0071 (tagR1)
fur (AL347_13415);PA0072;-;PA0072 (tagS1)
fur (AL347_13415);PA0929;-;PA0929
fur (AL347_13415);PA0930;-;PA0930
fur (AL347_13415);hasAp_P;+;hasAp_P
fur (AL347_13415);hasAp_N;-;hasAp_N
gacA (AL347_30505);lasR;+;lasR
gacA (AL347_30505);hcnA;+;hcnA
gacA (AL347_30505);hcnB;+;hcnB
gacA (AL347_30505);hcnC;+;hcnC
gacA (AL347_30505);rsmA;+;rsmA
gacA (AL347_30505);vreI;?;vreI
gacA (AL347_30505);PA1300;?;PA1300 (hxuI)
gacA (AL347_30505);PA1363;?;PA1363
gacA (AL347_30505);pvdS;?;pvdS
gacA (AL347_30505);foxI;?;foxI
gacA (AL347_30505);PA4896;?;PA4896
gacA (AL347_30505);PA0028;?;PA0028
gacA (AL347_30505);PA0102;?;PA0102
gacA (AL347_30505);PA0138;?;PA0138
gacA (AL347_30505);triB;?;triB
gacA (AL347_30505);triC;?;triC
gacA (AL347_30505);PA0165;?;PA0165
gacA (AL347_30505);siaA;?;siaA
gacA (AL347_30505);PA0277;?;PA0277
gacA (AL347_30505);aguR;?;aguR
gacA (AL347_30505);PA0344;?;PA0344
gacA (AL347_30505);PA0422;?;PA0422
gacA (AL347_30505);PA0428;?;PA0428
gacA (AL347_30505);PA0540;?;PA0540
gacA (AL347_30505);PA0557;?;PA0557
gacA (AL347_30505);phdA;?;phdA
gacA (AL347_30505);PA0703;?;PA0703
gacA (AL347_30505);PA0802;?;PA0802
gacA (AL347_30505);PA0851;?;PA0851
gacA (AL347_30505);PA0874;?;PA0874
gacA (AL347_30505);PA1012;?;PA1012
gacA (AL347_30505);pauA;?;pauA
gacA (AL347_30505);shaB;?;shaB
gacA (AL347_30505);PA1069;?;PA1069
gacA (AL347_30505);roeA;?;roeA
gacA (AL347_30505);PA1197;?;PA1197
gacA (AL347_30505);PA1200;?;PA1200
gacA (AL347_30505);PA1211;?;PA1211
gacA (AL347_30505);aprE;?;aprE
gacA (AL347_30505);PA1287;?;PA1287
gacA (AL347_30505);PA1295;?;PA1295
gacA (AL347_30505);cyoA;?;cyoA
gacA (AL347_30505);PA1473;?;PA1473
gacA (AL347_30505);ccmG;?;ccmG
gacA (AL347_30505);exsB;?;exsB
gacA (AL347_30505);liuE;?;liuE
gacA (AL347_30505);lpdV;?;lpdV
gacA (AL347_30505);PA2301;?;PA2301
gacA (AL347_30505);PA2471;?;PA2471
gacA (AL347_30505);PA2502;?;PA2502
gacA (AL347_30505);PA2504;?;PA2504
gacA (AL347_30505);cdpR;?;cdpR
gacA (AL347_30505);greB;?;greB
gacA (AL347_30505);PA2864;?;PA2864
gacA (AL347_30505);PA2874;?;PA2874
gacA (AL347_30505);cobH;?;cobH
gacA (AL347_30505);pelC;?;pelC
gacA (AL347_30505);pelB;?;pelB
gacA (AL347_30505);cprR;?;cprR
gacA (AL347_30505);xcpT;?;xcpT
gacA (AL347_30505);PA3110;?;PA3110
gacA (AL347_30505);PA3214;?;PA3214
gacA (AL347_30505);PA3309;?;PA3309
gacA (AL347_30505);PA3325;?;PA3325
gacA (AL347_30505);PA3328;?;PA3328
gacA (AL347_30505);PA3342;?;PA3342
gacA (AL347_30505);amiR;?;amiR
gacA (AL347_30505);amiC;?;amiC
gacA (AL347_30505);PA3375;?;PA3375
gacA (AL347_30505);PA3457;?;PA3457
gacA (AL347_30505);rhlR;?;rhlR
gacA (AL347_30505);grxD;?;grxD
gacA (AL347_30505);PA3572;?;PA3572
gacA (AL347_30505);PA3592;?;PA3592
gacA (AL347_30505);pyrG;?;pyrG
gacA (AL347_30505);glnD;?;glnD
gacA (AL347_30505);PA3669;?;PA3669
gacA (AL347_30505);PA3749;?;PA3749
gacA (AL347_30505);nagE;?;nagE
gacA (AL347_30505);PA3892;?;PA3892
gacA (AL347_30505);eddB;?;eddB
gacA (AL347_30505);PA3959;?;PA3959
gacA (AL347_30505);PA3973;?;PA3973
gacA (AL347_30505);ubiX;?;ubiX
gacA (AL347_30505);PA4112;?;PA4112
gacA (AL347_30505);PA4171;?;PA4171
gacA (AL347_30505);ppgL;?;ppgL
gacA (AL347_30505);pchG;?;pchG
gacA (AL347_30505);pchF;?;pchF
gacA (AL347_30505);recD;?;recD
gacA (AL347_30505);PA4289;?;PA4289
gacA (AL347_30505);PA4291;?;PA4291
gacA (AL347_30505);PA4312;?;PA4312
gacA (AL347_30505);PA4340;?;PA4340
gacA (AL347_30505);PA4475;?;PA4475
gacA (AL347_30505);magE;?;magE
gacA (AL347_30505);PA4510;?;PA4510
gacA (AL347_30505);PA4586;?;PA4586
gacA (AL347_30505);PA4611;?;PA4611
gacA (AL347_30505);PA4654;?;PA4654
gacA (AL347_30505);PA4676;?;PA4676
gacA (AL347_30505);PA4685;?;PA4685
gacA (AL347_30505);speD2;?;speD2
gacA (AL347_30505);desB;?;desB
gacA (AL347_30505);PA4925;?;PA4925
gacA (AL347_30505);PA4948;?;PA4948
gacA (AL347_30505);aruI;?;aruI
gacA (AL347_30505);PA4987;?;PA4987
gacA (AL347_30505);PA4992;?;PA4992
gacA (AL347_30505);PA5136;?;PA5136
gacA (AL347_30505);mutY;?;mutY
gacA (AL347_30505);dctP;?;dctP
gacA (AL347_30505);PA5210;?;PA5210
gacA (AL347_30505);PA5342;?;PA5342
gacA (AL347_30505);PA5517;?;PA5517
gacA (AL347_30505);tonB1;?;tonB1
gacA (AL347_30505);PA5543;?;PA5543
gacA (AL347_30505);fecI;?;fecI
gacA (AL347_30505);rsmY;+;rsmY
gacA (AL347_30505);rsmZ;+;rsmZ
gacA (AL347_30505);lasI;?;lasI
gacS (AL347_08580);gacA;+;gacA
gacS (AL347_08580);rsmY;+;rsmY
gacS (AL347_08580);rsmZ;+;rsmZ
gbdR (AL347_16690);sdaB;+;sdaB
gbdR (AL347_16690);dgcB;+;dgcB
gbdR (AL347_16690);gbcB;+;gbcB
gbdR (AL347_16690);caiX;-;caiX
gbdR (AL347_16690);soxD;+;soxD
gbdR (AL347_16690);PA2698;?;PA2698
gbdR (AL347_16690);PA2795;?;PA2795 (dusA, yjbN)
gbdR (AL347_16690);oprI;?;oprI
gbdR (AL347_16690);rocsS2;?;rocsS2
gbdR (AL347_16690);rocA2;?;rocA2
gbdR (AL347_16690);fimV;?;fimV
gbdR (AL347_16690);wbpG;?;wbpG
gbdR (AL347_16690);hisF2;?;hisF2
gbdR (AL347_16690);wzy;?;wzy
gbdR (AL347_16690);wbpA;?;wbpA
gbdR (AL347_16690);bfrB;?;bfrB
gbdR (AL347_16690);arnB;?;arnB
gbdR (AL347_16690);PA3835;?;PA3835
gbdR (AL347_16690);PA3836;?;PA3836
gbdR (AL347_16690);cupB3;?;cupB3
gbdR (AL347_16690);PA4087;?;PA4087
gbdR (AL347_16690);PA4139;?;PA4139
gbdR (AL347_16690);phzA1;?;phzA1
gbdR (AL347_16690);phzB1;?;phzB1
gbdR (AL347_16690);phzC1;?;phzC1
gbdR (AL347_16690);phzD1;?;phzD1
gbdR (AL347_16690);phzE1;?;phzE1
gbdR (AL347_16690);phzF1;?;phzF1
gbdR (AL347_16690);rpsG;?;rpsG
gbdR (AL347_16690);plcH;d;plcH
gbdR (AL347_16690);pchP;+;pchP
gbdR (AL347_16690);gbdR;+;gbdR
gbdR (PSPA7_RS29400);PSPA7_RS29485;?;PSPA7_RS29485 (PSPA7_6184)
gbdR (PSPA7_RS29400);PSPA7_RS29480;?;PSPA7_RS29480 (PSPA7_6182)
gbuR (AL347_05705);gbuA;d;gbuA
gbuR (AL347_05705);glpR;+;glpR
gbuR (AL347_05705);glmS;?;glmS
gbuR (AL347_05705);gpuP;+;gpuP
gbuR (AL347_05705);gpuA;d;gpuA
gbuR (AL347_05705);ptxS;+;ptxS
gcsR (AL347_32765);gcvT2;+;gcvT2
gcsR (AL347_32765);sdaA;+;sdaA
gcsR (AL347_32765);gcvP2;+;gcvP2
gcsR (AL347_32765);gcvH2;+;gcvH2
glcC (AL347_16540);glcD;-;glcD
glcC (AL347_16540);glcE;-;glcE
glcC (AL347_16540);glcF;-;glcF
glcC (AL347_16540);PA5352;-;PA5352
glcC (AL347_16540);glcC;-;glcC
glmR (AL347_17570);glmS;?;glmS
glpR (AL347_24870);agmR;+;agmR
glpR (AL347_24870);himA;-;himA
glpR (AL347_24870);glpF;-;glpF
glpR (AL347_24870);glpD;-;glpD
glpR (AL347_24870);glpT;-;glpT
glpR (AL347_24870);pelA;-;pelA
glpR (AL347_24870);glpK1;?;glpK1
gltR (AL347_00565);toxA;-;toxA
gltR (AL347_00565);oprB;-;oprB
gltR (AL347_00565);glk;-;glk
gltR (AL347_00565);edd;-;edd
gntR (AL347_33430);gntP;-;gntP
gntR (AL347_33430);PA2321;-;PA2321 (gntK, gntV, gnuK)
gntR (AL347_33430);gntR;-;gntR
gpuR (AL347_19230);gpuP;+;gpuP
gpuR (AL347_19230);gpuA;+;gpuA
gpuR (AL347_19230);gpuR;+;gpuR
hexR (AL347_26900);zwf;-;zwf
hfq (AL347_14340);PA0149;?;PA0149
hfq (AL347_14340);PA1300;?;PA1300 (hxuI)
hfq (AL347_14340);PA1363;?;PA1363
hfq (AL347_14340);sigX;?;sigX
hfq (AL347_14340);femI;?;femI
hfq (AL347_14340);foxI;?;foxI
hfq (AL347_14340);pvdS;?;pvdS
himA (AL347_29525);oprE;+;oprE
himA (AL347_29525);fliD;+;fliD
himA (AL347_29525);fleS;+;fleS
himA (AL347_29525);fleR;+;fleR
himA (AL347_29525);alg8;+;alg8
himA (AL347_29525);alg44;+;alg44
himA (AL347_29525);algK;+;algK
himA (AL347_29525);algE;+;algE
himA (AL347_29525);algG;+;algG
himA (AL347_29525);algX;+;algX
himA (AL347_29525);algL;+;algL
himA (AL347_29525);algI;+;algI
himA (AL347_29525);algJ;+;algJ
himA (AL347_29525);algF;+;algF
himA (AL347_29525);algA;+;algA
himA (AL347_29525);murI;+;murI
himA (AL347_29525);moeB;+;moeB
himA (AL347_29525);hemK;+;hemK
himA (AL347_29525);lasR;+;lasR
himA (AL347_29525);algD;+;algD
himA (AL347_29525);narI;+;narI
himA (AL347_29525);narJ;+;narJ
himA (AL347_29525);narH;+;narH
himA (AL347_29525);narG;+;narG
himA (AL347_29525);nark2;+;nark2
himA (AL347_29525);nark1;+;nark1
himA (AL347_29525);hemA;+;hemA
himA (AL347_29525);algB;+;algB
himA (AL347_29525);gbdR;+;gbdR
himA (AL347_29525);pchP;+;pchP
himD (AL347_27015);oprE;+;oprE
himD (AL347_27015);fliD;+;fliD
himD (AL347_27015);fleS;+;fleS
himD (AL347_27015);fleR;+;fleR
himD (AL347_27015);alg8;+;alg8
himD (AL347_27015);alg44;+;alg44
himD (AL347_27015);algK;+;algK
himD (AL347_27015);algE;+;algE
himD (AL347_27015);algG;+;algG
himD (AL347_27015);algX;+;algX
himD (AL347_27015);algL;+;algL
himD (AL347_27015);algI;+;algI
himD (AL347_27015);algJ;+;algJ
himD (AL347_27015);algF;+;algF
himD (AL347_27015);algA;+;algA
himD (AL347_27015);murI;+;murI
himD (AL347_27015);moeB;+;moeB
himD (AL347_27015);hemK;+;hemK
himD (AL347_27015);lasR;+;lasR
himD (AL347_27015);algD;+;algD
himD (AL347_27015);narI;+;narI
himD (AL347_27015);narJ;+;narJ
himD (AL347_27015);narH;+;narH
himD (AL347_27015);narG;+;narG
himD (AL347_27015);nark2;+;nark2
himD (AL347_27015);nark1;+;nark1
himD (AL347_27015);hemA;+;hemA
himD (AL347_27015);algB;+;algB
himD (AL347_27015);gbdR;+;gbdR
himD (AL347_27015);pchP;+;pchP
hmgR (AL347_02560);hmgA;-;hmgA
hptB (AL347_26025);PA3346;-;PA3346 (hsbR)
hptB (AL347_26025);hsbA;+;hsbA
hsbA (AL347_26015);hsbD;+;hsbD
hsbA (AL347_26015);flgM;-;flgM
hupB (AL347_03625);ptxS;+;ptxS
hutC (AL347_15170);hutC;-;hutC
hutC (AL347_15170);PA5104;-;PA5104
hutC (AL347_15170);PA5106;-;PA5106
hutC (AL347_15170);hutU;-;hutU
hutC (AL347_15170);PA5099;-;PA5099
hutC (AL347_15170);hutH;-;hutH
hutC (AL347_15170);PA5097;-;PA5097
hutC (AL347_15170);PA5096;-;PA5096
hutC (AL347_15170);PA5095;-;PA5095
hutC (AL347_15170);PA5094;-;PA5094
hutC (AL347_15170);PA5093;-;PA5093
hutC (AL347_15170);hutI;-;hutI
hutC (AL347_15170);hutG;-;hutG
ihf (ihf);alg44;+;alg44
ihf (ihf);alg8;+;alg8
ihf (ihf);algA;+;algA
ihf (ihf);algB;+;algB
ihf (ihf);algD;+;algD
ihf (ihf);algE;+;algE
ihf (ihf);algF;+;algF
ihf (ihf);algG;+;algG
ihf (ihf);algI;+;algI
ihf (ihf);algJ;+;algJ
ihf (ihf);algK;+;algK
ihf (ihf);algL;+;algL
ihf (ihf);algX;+;algX
ihf (ihf);fleR;+;fleR
ihf (ihf);fleS;+;fleS
ihf (ihf);fliD;+;fliD
ihf (ihf);fumC1;+;fumC1
ihf (ihf);hemA;+;hemA
ihf (ihf);hemK;+;hemK
ihf (ihf);lasR;+;lasR
ihf (ihf);moeB;+;moeB
ihf (ihf);murI;+;murI
ihf (ihf);narG;+;narG
ihf (ihf);narH;+;narH
ihf (ihf);narI;+;narI
ihf (ihf);narJ;+;narJ
ihf (ihf);narK1;+;narK1
ihf (ihf);narK2;+;narK2
ihf (ihf);oprE;+;oprE
ihf (ihf);algQ;+;algQ
iscR (AL347_23680);fdx2;-;fdx2
iscR (AL347_23680);hscA;-;hscA
iscR (AL347_23680);hscB;-;hscB
iscR (AL347_23680);iscA;-;iscA
iscR (AL347_23680);iscU;-;iscU
iscR (AL347_23680);iscS;-;iscS
iscR (AL347_23680);fprB;+;fprB
iscR (AL347_23680);nfuA;+;nfuA
iscR (AL347_23680);iscX;-;iscX
iscR (AL347_23680);PA3808;-;PA3808
iscR (AL347_23680);PA0665;-;PA0665
iscR (AL347_23680);iscR;-;iscR
kynR (AL347_02170);PA2079;+;PA2079
kynR (AL347_02170);kynU;+;kynU
kynR (AL347_02170);kynB;+;kynB
kynR (AL347_02170);kynR;+;kynR
kynR (AL347_02170);kynA;+;kynA
ladS (AL347_22835);gacS;+;gacS
ladS (AL347_22835);gacA;+;gacA
ladS (AL347_22835);rsaL;+;rsaL
laoR (AL347_19640);laoA;-;laoA
laoR (AL347_19640);laoB;-;laoB
laoR (AL347_19640);laoC;-;laoC
lasI (AL347_05605);rsaL;?;rsaL
lasI (AL347_05605);xcpP;?;xcpP
lasI (AL347_05605);lasB;?;lasB
lasI (AL347_05605);lasI;?;lasI
lasI (AL347_05605);gacA;?;gacA
lasI (AL347_05605);xcpW;?;xcpW
lasI (AL347_05605);xcpV;?;xcpV
lasI (AL347_05605);xcpT;?;xcpT
lasI (AL347_05605);xcpS;?;xcpS
lasI (AL347_05605);xcpR;?;xcpR
lasI (AL347_05605);xcpQ;?;xcpQ
lasI (AL347_05605);xcpZ;?;xcpZ
lasI (AL347_05605);xcpX;?;xcpX
lasI (AL347_05605);qscR;?;qscR
lasI (AL347_05605);lasR;?;lasR
lasI (AL347_05605);rhlB;?;rhlB
lasI (AL347_05605);rhlA;?;rhlA
lasI (AL347_05605);xcpU;?;xcpU
lasI (AL347_05605);rhlI;?;rhlI
lasI (AL347_05605);lasA;?;lasA
lasI (AL347_05605);rhlR;?;rhlR
lasI (AL347_05605);ampR;?;ampR
lasI (AL347_05605);fagA;?;fagA
lasI (AL347_05605);PA4469;?;PA4469
lasI (AL347_05605);ptxR;?;ptxR
lasI (AL347_05605);pprB;?;pprB
lasI (AL347_05605);eta;?;eta
lasI (AL347_05605);vfr;?;vfr
lasR (AL347_05615);rpoS;+;rpoS
lasR (AL347_05615);plcB;+;plcB
lasR (AL347_05615);nuh;+;nuh
lasR (AL347_05615);aprD;+;aprD
lasR (AL347_05615);aprF;+;aprF
lasR (AL347_05615);xcpQ;+;xcpQ
lasR (AL347_05615);rhlG;+;rhlG
lasR (AL347_05615);bphO;+;bphO
lasR (AL347_05615);bphP;+;bphP
lasR (AL347_05615);phzB1;+;phzB1
lasR (AL347_05615);phzC1;+;phzC1
lasR (AL347_05615);phzD1;+;phzD1
lasR (AL347_05615);mexR;+;mexR
lasR (AL347_05615);hcnB;+;hcnB
lasR (AL347_05615);hcnC;+;hcnC
lasR (AL347_05615);acpP;+;acpP
lasR (AL347_05615);tpbA;+;tpbA
lasR (AL347_05615);hvn;+;hvn
lasR (AL347_05615);kynU;+;kynU
lasR (AL347_05615);kynB;+;kynB
lasR (AL347_05615);rhlA;+;rhlA
lasR (AL347_05615);rahU;+;rahU
lasR (AL347_05615);PA0144;+;PA0144
lasR (AL347_05615);PA0572;+;PA0572
lasR (AL347_05615);PA0805;+;PA0805
lasR (AL347_05615);hsiB2;+;hsiB2
lasR (AL347_05615);hsiF2;+;hsiF2
lasR (AL347_05615);acp1;+;acp1
lasR (AL347_05615);ambE;+;ambE
lasR (AL347_05615);ambD;+;ambD
lasR (AL347_05615);ambC;+;ambC
lasR (AL347_05615);ambB;+;ambB
lasR (AL347_05615);PA3904;+;PA3904
lasR (AL347_05615);tecT;+;tecT
lasR (AL347_05615);PA3906;+;PA3906
lasR (AL347_05615);tseT;+;tseT
lasR (AL347_05615);tsiT;+;tsiT
lasR (AL347_05615);cueR;+;cueR
lasR (AL347_05615);PA5230;+;PA5230
lasR (AL347_05615);aprX;+;aprX
lasR (AL347_05615);aprI;+;aprI
lasR (AL347_05615);clpP;+;clpP
lasR (AL347_05615);lpdV;+;lpdV
lasR (AL347_05615);vqsR;+;vqsR
lasR (AL347_05615);rhlI;+;rhlI
lasR (AL347_05615);aprA;+;aprA
lasR (AL347_05615);lasI;+;lasI
lasR (AL347_05615);hcnA;+;hcnA
lasR (AL347_05615);phzM;+;phzM
lasR (AL347_05615);phzA1;+;phzA1
lasR (AL347_05615);rsaL;+;rsaL
lasR (AL347_05615);amrZ;?;amrZ
lasR (AL347_05615);hsiC2;+;hsiC2
lasR (AL347_05615);phzG2;+;phzG2
lasR (AL347_05615);pvdS;+;pvdS
lasR (AL347_05615);pqsA;+;pqsA
lasR (AL347_05615);pqsB;+;pqsB
lasR (AL347_05615);pqsC;+;pqsC
lasR (AL347_05615);pqsD;+;pqsD
